adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/wt0gb7ISUf8IyaJ4tnZVltvWoo7.jpg,[27],1353333,en,Mouseboat Massacre,,80.3048,/ctKqevqOwbeVg5GLQLu5VvnCjan.jpg,2025-05-09,Mouseboat Massacre,False,5.5,25
False,/cugd16e3WbCG3Zogb8N7lwUnVXH.jpg,"[14, 28, 12]",1253000,en,Deathstalker,,65.7269,/nEI3DnzQC1afAjJOAizx6UX27pL.jpg,2025-10-10,Deathstalker,False,6.2,53
False,/1qwhYqg7YEZajh3Q4biqbuQoDq8.jpg,"[16, 35, 10751, 28]",1297842,en,GOAT,"큰 꿈을 품은 작은 염소 윌은 세계에서 가장 빠르고 사나운 동물들이 지배하는 고강도 혼성 풀컨택트 스포츠 ‘로어볼’의 프로 리그에 합류할 단 한 번의 기회를 얻게 된다. 새 팀의 동료들은 작은 염소가 팀 명단에 오른 것을 탐탁지 않게 여기지만, 윌은 ‘작아도 충분히 해낼 수 있다’는 것을 증명하고 스포츠의 판도를 바꾸겠다는 굳은 결의를 다진다. 이를 위해 그는 지금까지 한 번도 해본 적 없는 도전에 나서야 한다.",67.267,/wfuqMlaExcoYiUEvKfVpUTt1v4u.jpg,2026-02-11,고트,False,7.5,85
False,/q2UhJtqp4ONeARofhpIHx4S0ElU.jpg,[18],1549519,tl,Sex Trip,,79.4154,/sr4sLilBbPx4TfPnX2zzUxlySgu.jpg,2026-02-20,Sex Trip,False,7.0,2
False,/oJRlYxfG10h4sxk2A7fpeOZnaFi.jpg,"[27, 878]",9276,en,The Faculty,"재정난에 허덕이고 있는 해링톤 고등학교에서는 주민들의 환호를 받고 있는 아메리칸 풋볼팀 외에는 학생 교사 모두 무기력하기만 하다.  이 학교에는 아웃사이더 6명이 있다. 치어 리더이자 학보 편집장인 미모의 여학생 딜라일라(조다나 브루스터), 사람과 어울리지 않기 위해 레즈비언인 척 하는 스토클리(클리어 듀발), 교통사고로 부모를 잃은 후 전학 온 메리베스(로라 해리스), 학교의 사고뭉치 제키(조쉬 하트넷), 모범생이지만 학생들에게는 왕따인 케이시(엘리야 우드), 풋볼팀 쿼터백으로 엄청난 인기를 누리지만 풋볼팀과 대우받는 현실이 싫어 팀을 나온 스탠(숀 해토시)이 그들이다.  이들 아웃사이더는 교사들의 미움을 받던 드레이크 교장이 살해되자 범인을 찾기 위해 나선다. 그런데 이후 교사들이 하나씩 차례대로 살해되자 서로가 서로를 의심하는 혼란에 빠지기도 한다.  하지만 생물선생님인 펄롱이 죽던 날 케이시가 풋볼 경기장에서 결정적인 단서를 얻는데...",63.6252,/6K7B7TpmTsRaFFvRnFnJTf8F14U.jpg,1998-12-25,패컬티,False,6.563,2187
False,/coyHrYHD2xHhDoYD6o4uwoJ2o7b.jpg,"[16, 10751, 35, 12]",1084244,en,Toy Story 5,,61.9651,/xbYSn0ZkAjbIYQhV5H2WD7fsyfq.jpg,2026-06-17,토이 스토리 5,False,0.0,0
False,/jwRbJMGO3OZCwFLoJXn8tEbatJ2.jpg,[27],1375831,en,Diabolic,,59.2486,/3qikoc12LQH6upkLZZlJY8wEZvN.jpg,2025-11-20,Diabolic,False,7.214,21
False,/fAF3VGFBpItWNROmiGob60n0y5.jpg,[27],1242937,en,The Dreadful,"중세 영국에서 앤과 그녀의 권위적인 시어머니 모웬은 사회 변두리에서 힘겹게 살아남는다. 그러던 중 앤의 과거와 관련된 한 남자가 전쟁에서 돌아오고, 신비로운 기사를 통해 저주가 서서히 드러나며 그들 모두를 파멸로 이끌기 시작한다.",53.7243,/hGH8Ji7pG2ytHxo7ABqHM3TpzFA.jpg,2026-02-20,더 드레드풀,False,6.5,47
False,/i275mAQP4KhPtYUpMUgBGMmK4WN.jpg,"[27, 53, 18]",1249508,en,Grizzly Night,"1967년 8월 12일 밤, 몬태나 글레이셔 국립공원의 야영객들은 평온한 자연 속에서 하룻밤을 보내려 한다. 그러나 같은 밤, 불과 몇 마일 떨어진 두 지점에서 그리즐리 곰의 습격으로 치명적인 참사가 연이어 발생하고 숲은 순식간에 공포와 혼란으로 뒤덮인다. 통신은 끊기고 구조는 지연되는 가운데, 살아남은 이들은 어둠 속 숲과 보이지 않는 포식자 앞에서 끝까지 버텨야 하는 생존의 시험대에 오르는데...",62.9902,/vuMsls2OFFr3bpTlusCU5X4uPMw.jpg,2026-01-30,1967 그리즐리 어택,False,6.014,36
False,/cYyNJzwhaj7aC4uTlUctrfaERbf.jpg,"[28, 18, 36]",1305781,zh,镖人：风起大漠,,53.6055,/AsWzPlQK2xJTIrzw6McT8Yvy6H2.jpg,2026-02-17,镖人：风起大漠,False,7.81,21
